id,movie,rating,opinion,content,date_posted,author
21,17,7,2,Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,2020-03-18 09:28:56,4
20,2,7,3,What is Lorem Ipsum Lorem Ipsum is simply dummy text of the printing and typesetting industry.,2020-03-18 09:07:12,2
19,14,7,5,Lorem Ipsum has been the industry's standard dummy text ever since the 1500s when an unknown printer took a galley of type and scrambled it to make a type specimen book it has,2020-03-18 09:06:33,11
18,1,8,2,When an unknown printer took a galley of type and scrambled it to make a type specimen book it has?,2020-03-18 09:05:50,8
17,15,8,3,What is Lorem Ipsum Lorem Ipsum is simply dummy text of the printing and typesetting industry Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,2020-03-18 09:05:05,1
16,3,3,6,What is Lorem Ipsum Lorem Ipsum is simply dummy text of the printing and typesetting industry Lorem Ipsum has been the industry's standard dummy text ever since the 1500s when an unknown printer took a galley of type and scrambled it to make a type specimen book it has,2020-03-17 18:21:34,1
15,71,8,3,"There are many variations of passages of Lorem Ipsum available, but the majority have suffered alteration in some form, by injected humour, or randomised words.",2020-03-17 13:00:59,4
14,88,6,5,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old",2020-03-17 13:00:05,1
13,13,1,7,Repeated story,2020-03-17 00:00:00,4
12,19,3,7,"Phasellus ac tortor vehicula, rutrum mi a, pellentesque diam. Sed turpis augue, dignissim at sem eu, interdum condimentum odio. Praesent eleifend.",2020-03-17 00:00:00,13
11,4,7,4,"Sed euismod condimentum erat. Nam convallis in arcu nec pulvinar. Sed porttitor gravida elementum. Duis sed odio eu mi auctor accumsan non et ligula. In hac habitasse platea dictumst. Praesent ornare malesuada diam, sit amet sodales purus rhoncus quis.",2020-03-17 00:00:00,12
10,16,7,4,"vitae mollis odio. Vivamus scelerisque, nibh eu maximus tempor, elit dolor porta enim, vel dignissim ligula risus in purus. Duis pulvinar, nisl a ultricies laoreet.",2020-03-17 00:00:00,11
9,7,3,7,"In hac habitasse platea dictumst. Praesent ornare malesuada diam, sit amet sodales purus rhoncus quis.",2020-03-17 00:00:00,10
8,11,8,2,"Nunc cursus nibh vitae nunc pretium, at pretium lacus tristique. Vivamus mi nisl, mattis aliquet nibh sed, eleifend rhoncus risus. Maecenas eget magna non risus tempus finibus. Sed risus eros, efficitur quis bibendum vitae, sagittis quis nulla. Phasellus ac tortor vehicula.",2020-03-17 00:00:00,9
7,10,7,3,"Praesent vel suscipit dolor, nec pharetra tortor. Proin volutpat iaculis ipsum, ut dapibus sem gravida nec. Praesent in convallis sapien. Praesent blandit risus a odio iaculis dictum",2020-03-17 00:00:00,8
6,4,5,5,"Praesent condimentum consequat lorem, sed varius libero blandit et. Cras aliquam finibus odio, vel placerat augue scelerisque vitae. Sed eget lacinia metus.",2020-03-17 00:00:00,6
5,19,3,6,"Cras lobortis ultricies mauris, sed dapibus quam tristique porttitor. Nam mi quam, mattis et dolor vitae, viverra scelerisque sem. In nec sodales justo, vitae mollis odio",2020-03-17 00:00:00,5
4,15,7,4,"Morbi lacus libero, rutrum et accumsan ut, varius quis felis. Maecenas id bibendum dolor. Suspendisse eget porta leo. Nullam gravida elit non ante pretium imperdiet.",2020-03-17 00:00:00,4
3,12,6,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Etiam euismod dignissim augue, at accumsan risus iaculis dignissim. Aliquam ultrices, massa.",2020-03-17 00:00:00,3
2,2,7,3,"Nullam cursus facilisis magna, vel gravida nibh vehicula quis. Proin ultricies ornare sagittis. Vivamus risus eros, consequat quis porttitor non, sagittis eu turpis. Sed euismod condimentum erat",2020-03-17 00:00:00,2
1,1,8,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Etiam euismod dignissim augue, at accumsan risus iaculis dignissim. Aliquam ultrices, massa eu sollicitudin auctor, nisi odio tempor tortor",2020-03-17 00:00:00,1
